#,Group,Type,Name,What it is,Used by,My proposal,Why,Your decision
18,B. Guest-upload test gate (PRs #256-#262),Apex class,FinalUploadCapability,Issues one-time upload slots,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
19,B. Guest-upload test gate (PRs #256-#262),Apex class,FinalUploadProofController,Operator screen actions (issue/inspect slots),Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
20,B. Guest-upload test gate (PRs #256-#262),Apex class,FinalUploadProofGuard,Checks every new file against a slot (called by the trigger),Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
21,B. Guest-upload test gate (PRs #256-#262),Apex class,FinalUploadProofPolicy,Reads who may take part (from the metadata records),Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
22,B. Guest-upload test gate (PRs #256-#262),Apex class,FinalUploadProofStore,Reads/writes the slot ledger,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
23,B. Guest-upload test gate (PRs #256-#262),Apex class,FinalUploadProofTest,Apex tests for the above,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
24,B. Guest-upload test gate (PRs #256-#262),Apex trigger,FinalUploadContentVersion,Runs on EVERY ContentVersion insert/update in the org,Every file upload org-wide; rejects normal uploads by the enrolled site guest,"Keep until the guest-upload test passes, then delete","Live side effect: the TestSite guest is enrolled, so its unmarked uploads are rejected. Delete first if you drop the proof","ok, keep"
25,B. Guest-upload test gate (PRs #256-#262),Custom object,Final_Upload_Proof__c,Ledger of issued upload slots,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
26,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Actor_User__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
27,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Actual_Bytes__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
28,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Document_Id__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
29,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Expires_At__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
30,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Extension__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
31,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.File_Name__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
32,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Max_Bytes__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
33,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Policy_Key__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
34,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.State__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
35,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Token_Hash__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
36,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof__c.Version_Id__c,Slot ledger field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
37,B. Guest-upload test gate (PRs #256-#262),Custom object,Final_Upload_Proof_Lock__c,Single lock row so two slots cannot be issued at once,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
38,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof_Lock__c.Key__c,Lock key,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its object,"ok, keep"
39,B. Guest-upload test gate (PRs #256-#262),Custom metadata type,Final_Upload_Proof_Policy__mdt,Who may take part in the test,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
40,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof_Policy__mdt.Actor_User_Id__c,Policy field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its type,"ok, keep"
41,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof_Policy__mdt.Admission_Enabled__c,Policy field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its type,"ok, keep"
42,B. Guest-upload test gate (PRs #256-#262),Field,Final_Upload_Proof_Policy__mdt.Guest_User_Id__c,Policy field,Only the proof,"Keep until the guest-upload test passes, then delete",Goes with its type,"ok, keep"
43,B. Guest-upload test gate (PRs #256-#262),Custom metadata record,Final_Upload_Proof_Policy.Disabled,Off switch,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
44,B. Guest-upload test gate (PRs #256-#262),Custom metadata record,Final_Upload_Proof_Policy.Operator,The admin running the test,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
45,B. Guest-upload test gate (PRs #256-#262),Custom metadata record,Final_Upload_Proof_Policy.TestSiteGuest,Enrols the TestSite guest user,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
46,B. Guest-upload test gate (PRs #256-#262),Custom permission,Final_Upload_Proof_Admin,Lets a user run the operator screen,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
47,B. Guest-upload test gate (PRs #256-#262),Permission set,Final_Upload_Proof_Admin,Grants the proof objects + custom permission,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
48,B. Guest-upload test gate (PRs #256-#262),LWC,finalUploadProof,Operator + guest test screen,Only the proof pages,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
49,B. Guest-upload test gate (PRs #256-#262),Lightning page,Final_Upload_Proof,Page holding the test screen,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
50,B. Guest-upload test gate (PRs #256-#262),Tab,Final_Upload_Proof,Tab for that page,Only the proof,"Keep until the guest-upload test passes, then delete",Test harness the guest-upload plan must pass before the real build. Stalled only because 2 org settings are off. Delete now only if guest upload is not coming soon,"ok, keep"
51,B. Guest-upload test gate (PRs #256-#262),Field,ContentVersion.Final_Upload_fileupload__c,Salesforce needs a *fileupload__c field for guest uploads on LWR sites,Only the proof,"Keep until the guest-upload test passes, then delete",The real guest upload needs a field like this; could be kept and reused under a better name,"ok, keep"
52,C. Developer test pages,LWC,finalDesignTest,Theme-phase harness: Design panel beside the viewer,Only its page,Delete,The Studio does this now,Delete
53,C. Developer test pages,Lightning page,Final_Design_Test,Page holding finalDesignTest,Nothing,Delete,Same,Delete
54,C. Developer test pages,Tab,Final_Design_Test,Tab for that page,Nothing,Delete,Same,Delete
55,C. Developer test pages,Lightning page,Final_P0_Test,Page where every in-Salesforce browser check runs forms,All browser QA,Keep,It is the QA host; rename or drop at packaging,Keep
56,C. Developer test pages,Tab,Final_P0_Test,Tab for that page,All browser QA,Keep,Same,Keep
57,D. Uncommitted files (never in git),File/folder,docs/FinalDesign/COMPONENT_CATALOG.csv,Spreadsheet export of the component catalog (2026-07-04),Nothing in code,Delete,COMPONENT_CATALOG.md is the maintained version,Delete
58,D. Uncommitted files (never in git),File/folder,docs/FinalDesign/GUEST_UPLOAD_PROOF_CHANGED_FILES.md,List of files the upload proof created,Nothing in code,Archive,Goes with group B; history,Archive
59,D. Uncommitted files (never in git),File/folder,docs/FinalDesign/STUDIO_ACTIONS_SMOKE_TEST_MATRIX.md,Test checklist from the Clone/Export/Import/Delete release (2026-08-09),Nothing in code,Archive,History of a shipped release,Archive
60,D. Uncommitted files (never in git),File/folder,docs/FinalDesign/design_panel_ia_expanded.html,Mockup of the old 9-area Design panel (2026-07-06),Nothing in code,Delete,Replaced by the 5-section panel on 2026-09-06,Archive
61,D. Uncommitted files (never in git),File/folder,docs/FinalDesign/design_panel_ia_proposal.html,Earlier version of the same Design panel mockup,Nothing in code,Delete,Same,Archive
62,D. Uncommitted files (never in git),File/folder,docs/FinalDesign/CUSTOM_FONTS.md,Custom fonts design doc,Font code comments,Commit into specs/,"Shipped code (FinalFontController, finalFontLoader, finalThemeEngine) points at it",Keep
63,D. Uncommitted files (never in git),File/folder,docs/redesign/DESIGN_MODE_IA.csv,Old-build Design mode control list (2026-07-03),Nothing in code,Delete,Old build,Keep
64,D. Uncommitted files (never in git),File/folder,docs/redesign/Screenshot 2026-07-01 220543.jpg,A screenshot from 2026-07-01,Nothing in code,Delete,Unreferenced,delete
65,D. Uncommitted files (never in git),File/folder,docs/redesign/design_mode_complete_mockup.html,"Old-build ""FormStudio Advanced Design Mode"" mockup (2026-06-28)",Nothing in code,Delete,Old build,Keep
66,D. Uncommitted files (never in git),File/folder,docs/ux-prototype/,Separate project with its own git: clickable simulated Forms & Surveys app prototype (2026-09-04/05),Nothing in code,Your call,"Keep outside this repo, or delete","Keep, don’t push to git"
67,D. Uncommitted files (never in git),File/folder,scratch/forms-studio-ux-prototype.tar.gz,Zipped build of that prototype,Nothing in code,Delete,Copy of the above,"Keep, don’t push to git"
68,D. Uncommitted files (never in git),File/folder,scratch/forms-studio-native-v2.tar.gz,Zipped second version of the prototype (2026-09-05),Nothing in code,Delete,Copy,"Keep, don’t push to git"
69,D. Uncommitted files (never in git),File/folder,scratch/explicit-record-analyzer.json,Code-analyzer output from the record-page edit work (2026-09-09),Nothing in code,Delete,One-off output,"Keep, don’t push to git"
70,D. Uncommitted files (never in git),File/folder,scratch/explicit-record-validation.json,"Validation run output, same work",Nothing in code,Delete,One-off output,"Keep, don’t push to git"
71,D. Uncommitted files (never in git),File/folder,scratch/explicit-record-lwc-validation.json,"Component validation output, same work",Nothing in code,Delete,One-off output,"Keep, don’t push to git"
72,D. Uncommitted files (never in git),File/folder,scratch/review-2026-09-08.md,Written review of the Autofill changes (2026-09-07/08),Nothing in code,Archive,Review history,"Keep, don’t push to git"
73,D. Uncommitted files (never in git),File/folder,scratch/review-2026-09-08-recordEdit.test.js.txt,Test file drafted during that review,Nothing in code,Delete,Draft; real tests are committed,"Keep, don’t push to git"
74,D. Uncommitted files (never in git),File/folder,scratch/parse_catalog.py,One-off script that read the catalog CSV (2026-07-03),Nothing in code,Delete,One-off,"Keep, don’t push to git"
75,D. Uncommitted files (never in git),File/folder,.agents/AGENTS.md,Local AI-agent instructions,Nothing in code,Add to .gitignore,"Local tool setting, not project code",Add to .gitignore
76,D. Uncommitted files (never in git),File/folder,.claude/skills/,Local Claude skills,Nothing in code,Add to .gitignore,Local tool setting,Add to .gitignore
77,D. Uncommitted files (never in git),File/folder,.claude/agent-memory/uiux-flow-reviewer/org-render-verification.md,The UI reviewer agent's notes,Nothing in code,Add to .gitignore,Local tool state,Add to .gitignore
78,D. Uncommitted files (never in git),File/folder,.impeccable/,Local design-tool state,Nothing in code,Add to .gitignore,Local tool state,Add to .gitignore
79,E. Test objects only in the org,Custom object,Job_Application__c,Test object; 8 committed Apex test classes depend on it,Apex tests / seeded test forms,Commit into an unpackaged/ test folder,Tests break in a fresh org or package build without it; unpackaged/ never ships,keep them as is
80,E. Test objects only in the org,Custom object,Event_Feedback__c,Generated test object,Seeded test forms,Commit into an unpackaged/ test folder,Tests break in a fresh org or package build without it; unpackaged/ never ships,keep them as is
81,E. Test objects only in the org,Custom object,Hardware_Request__c,Generated test object,Seeded test forms,Commit into an unpackaged/ test folder,Tests break in a fresh org or package build without it; unpackaged/ never ships,keep them as is
82,E. Test objects only in the org,Custom object,Property_Inspection__c,Generated test object,Seeded test forms,Commit into an unpackaged/ test folder,Tests break in a fresh org or package build without it; unpackaged/ never ships,keep them as is
83,E. Test objects only in the org,Custom object,Work_History__c,Generated test object,Seeded test forms,Commit into an unpackaged/ test folder,Tests break in a fresh org or package build without it; unpackaged/ never ships,keep them as is
84,E. Test objects only in the org,App,Form_Viewer_App,Test app,Manual testing,Commit into unpackaged/,Same,keep them as is
85,E. Test objects only in the org,Tab,Form_Viewer_Page,Test tab,Manual testing,Commit into unpackaged/,Same,keep them as is
86,E. Test objects only in the org,File,scripts/generate_test_objects.js,Script that generated the test objects,Nothing,Commit into unpackaged/,Recreates the test objects,keep them as is
87,E. Test objects only in the org,File,scripts/update_profile.js,Script that granted profile access to them,Nothing,Commit into unpackaged/,Same,keep them as is
